WL	g-band	WL	r-band	WL	i-band	WL	z-band	WL	y-band
300	17.6583	300	41.5041	300	89.4521	300	0	300	0
301	17.8133	301	44.0782	301	59.8218	301	0	301	0
302	23.8218	302	71.7575	302	61.2818	302	0	302	0
303	15.7365	303	76.9697	303	92.784	303	0	303	0
304	86.2824	304	75.5552	304	71.5832	304	0	304	0
305	24.809	305	84.2651	305	52.9534	305	0	305	0
306	34.989	306	63.9674	306	73.7128	306	0	306	0
307	62.6295	307	59.7944	307	88.4893	307	0	307	0
308	44.6581	308	80.6514	308	50.5636	308	0	308	0
309	34.516	309	63.4783	309	47.9484	309	0	309	0
310	10.7316	310	44.6338	310	81.1423	310	0	310	0
311	4.8391	311	55.1306	311	79.2635	311	0	311	0
312	20.2013	312	86.0887	312	63.2283	312	0	312	0
313	0.4458	313	84.35	313	66.8675	313	0	313	0
314	0.1748	314	88.2694	314	21.1365	314	0	314	0
315	0.1436	315	59.1736	315	8.2744	315	0	315	0
316	0.1593	316	26.5153	316	6.4991	316	0	316	0
317	9.6421	317	21.0762	317	7.9114	317	0	317	0
318	0.0204	318	36.092	318	4.8155	318	0	318	0
319	0.0047	319	85.0635	319	1.9357	319	0	319	0
320	0.0032	320	49.1094	320	1.2278	320	0	320	0
321	0.0049	321	43.3775	321	1.3606	321	0	321	0
322	0.017	322	80.9499	322	2.7116	322	0	322	0
323	0.4761	323	55.7414	323	3.3168	323	0	323	0
324	0.0182	324	36.7878	324	1.1332	324	0	324	0
325	0.0028	325	31.1997	325	0.5955	325	0	325	0
326	0.0015	326	7.0503	326	0.5209	326	0	326	0
327	0.0018	327	2.2971	327	0.7231	327	0	327	0
328	0.0056	328	1.4146	328	1.6616	328	0	328	0
329	0.1942	329	1.5423	329	4.9371	329	0	329	0
330	0.0588	330	2.9885	330	3.6789	330	0	330	0
331	0.0184	331	4.9829	331	2.2365	331	0	331	0
332	0.0092	332	2.4275	332	2.3125	332	0	332	0
333	0.0099	333	1.6482	333	3.9165	333	0	333	0
334	0.038	334	1.9892	334	10.6629	334	0	334	0
335	0.9033	335	2.2991	335	32.0086	335	0	335	0
336	0.0682	336	1.1146	336	37.0166	336	0	336	0
337	0.1597	337	0.5855	337	38.1337	337	0	337	0
