#
#
#
#    Filter: B Tek set # 2 (3x3")
#       3 x 3  sq. inches
#       R.Gonzalez Set. 3, 1993     
#
#   Wl      %
#
  3400    0.70
  3450    0.83
  3500    1.69
  3550    5.26
  3600   15.47
  3650   28.09
  3700   38.90
  3750   45.34
  3800   48.99
  3850   56.03
  3900   60.62
  3950   59.30
  4000   63.24
  4050   62.30
  4100   64.09
  4150   66.16
  4200   65.54
  4250   63.90
  4300   65.65
  4350   59.49
  4400   61.44
  4450   58.35
  4500   57.95
  4550   53.04
  4600   48.48
  4650   42.56
  4700   36.47
  4750   28.94
  4800   21.73
  4850   14.35
  4900    9.68
  4950    6.44
  5000    4.52
  5050    2.81
  5100    1.38
  5150    0.73
  5200    0.33
  5250    0.17
  5300    0.09
