#
#
#
#    Filter: I Tek set # 2 (3x3")
#       3 x 3  sq. inches
#       R.Gonzalez Set. 4, 1993     
#
#   Wl      %
#
  7050    0.25
  7100    0.79
  7150    0.74
  7200    2.82
  7250   14.12
  7300   35.68
  7350   45.04
  7400   48.09
  7450   51.24
  7500   56.10
  7550   63.47
  7600   79.20
  7650   80.24
  7700   85.60
  7750   92.59
  7800   95.64
  7850   95.87
  7900   96.60
  7950   95.49
  8000   96.07
  8050   96.63
  8100   94.99
  8150   93.93
  8200   94.81
  8250   93.39
  8300   91.35
  8350   90.00
  8400   89.30
  8450   85.66
  8500   84.75
  8550   83.45
  8600   82.56
  8650   79.70
  8700   76.77
  8750   66.03
  8800   51.01
  8850   35.74
  8900   20.70
  8950   13.48
  9000   11.01
  9050    7.19
  9100    5.10
  9150    3.64
  9200    2.76
  9250    1.83
  9300    1.40
  9350    1.11
  9400    0.81
  9450    0.84
  9500    0.69
