#
#
#
#    Filter: R Tek set # 2 (3x3")
#       3 x 3  sq. inches
#       R.Gonzalez Set. 4, 1993     
#
#   Wl      %
#
  5500    0.12
  5550    0.95
  5600   10.36
  5650   28.81
  5700   47.20
  5750   59.57
  5800   69.98
  5850   74.68
  5900   78.53
  5950   80.20
  6000   78.15
  6050   81.09
  6100   80.04
  6150   78.05
  6200   77.50
  6250   77.73
  6300   73.01
  6350   73.05
  6400   72.14
  6450   71.26
  6500   68.23
  6550   66.96
  6600   65.70
  6650   62.18
  6700   60.99
  6750   59.07
  6800   57.35
  6850   54.38
  6900   52.31
  6950   49.67
  7000   46.79
  7050   43.42
  7100   42.65
  7150   40.06
  7200   37.87
  7250   37.13
  7300   30.00
  7350   27.95
  7400   28.38
  7450   26.91
  7500   25.19
  7550   23.33
  7600   21.67
  7650   20.26
  7700   18.25
  7750   16.37
  7800   14.90
  7850   13.42
  7900   12.14
  7950   11.05
  8000   10.14
  8050    9.20
  8100    8.25
  8150    7.33
  8200    5.63
  8250    5.52
  8300    5.15
  8350    4.58
  8400    3.85
  8450    3.64
  8500    3.26
  8550    2.71
  8600    2.38
  8650    2.01
  8700    1.82
  8750    1.66
  8800    1.33
  8850    1.17
  8900    0.93
  8950    0.85
  9000    0.72
  9050    0.57
  9100    0.51
