#
#
#
#    Filter: U (liquid CuSo4)
#       3 x 3  sq. inches
#       with set 3x3 # 2
#       R.Gonzalez Sept. 3, 1993     
#
#   Wl      %
#
  2800    0.83
  2850    0.96
  2900    1.80
  2950    1.66
  3000    1.83
  3050    1.79
  3100    1.71
  3150    2.70
  3200    8.44
  3250   18.34
  3300   29.50
  3350   39.26
  3400   47.47
  3450   60.02
  3500   58.57
  3550   61.65
  3600   67.81
  3650   70.12
  3700   63.41
  3750   61.96
  3800   56.60
  3850   47.81
  3900   35.63
  3950   22.99
  4000   12.77
  4050    5.29
  4100    1.64
  4150    0.38
  4200    0.13
