#
#
#
#    Filter: V Tek set # 2 (3x3")
#       3 x 3  sq. inches
#       R.Gonzalez Set. 3, 1993     
#
#   Wl      %
#
  4700    0.11
  4750    0.17
  4800    1.25
  4850    8.85
  4900   28.22
  4950   54.75
  5000   62.41
  5050   74.37
  5100   78.07
  5150   84.84
  5200   85.88
  5250   84.68
  5300   86.80
  5350   86.26
  5400   90.06
  5450   91.91
  5500   90.23
  5550   79.48
  5600   74.31
  5650   72.52
  5700   70.14
  5750   66.21
  5800   61.96
  5850   56.92
  5900   49.65
  5950   45.83
  6000   40.90
  6050   36.16
  6100   29.01
  6150   26.51
  6200   22.13
  6250   18.12
  6300   15.03
  6350   11.35
  6400    8.90
  6450    6.89
  6500    5.08
  6550    3.94
  6600    2.65
  6650    0.93
  6700    1.27
