# PFUEI g  SCHNEIDER ET AL 1982
      4300     0.012
      4400     0.097
      4500     0.263
      4600     0.602
      4700     0.804
      4800     0.910
      4900     0.981
      5000     1.049
      5100     1.137
      5200     1.252
      5300     1.332
      5360     1.483
      5400     1.495
      5450     1.448
      5500     1.366
      5600     0.937
      5700     0.568
      5800     0.326
      5900     0.180
      6100     0.063
      6300     0.020
      6500     0.009
      6700     0.000
