# PFUEI i  SCHNEIDER ET AL 1982
      6900     0.000
      7000     0.007
      7050     0.035
      7100     0.151
      7150     0.288
      7200     0.419
      7300     0.682
      7400     0.807
      7500     0.866
      7580     0.837
      7600     0.822
      7610     0.814
      7620     0.806
      7630     0.805
      7700     0.791
      7800     0.754
      7900     0.707
      8000     0.667
      8100     0.628
      8200     0.585
      8300     0.524
      8400     0.488
      8500     0.418
      8600     0.360
      8700     0.286
      8800     0.213
      9000     0.116
      9200     0.058
      9300     0.042
      9400     0.029
      9600     0.017
      9800     0.009
     10000     0.005
