# PFUEI r  SCHNEIDER ET AL 1982
      5900     0.000
      5950     0.020
      6000     0.097
      6050     0.403
      6100     0.860
      6150     1.235
      6200     1.309
      6300     1.299
      6400     1.414
      6450     1.487
      6500     1.628
      6550     1.574
      6600     1.462
      6650     1.344
      6700     1.246
      6750     1.219
      6800     1.193
      6850     1.225
      6900     1.170
      6950     1.021
      7000     0.812
      7100     0.480
      7200     0.314
      7400     0.212
      7500     0.171
      7580     0.119
      7600     0.106
      7620     0.088
      7650     0.073
      7800     0.048
      8000     0.026
      8500     0.018
      9000     0.003
      9500     0.001
     10000     0.002
     10200     0.001
