# PFUEI z  SCHNEIDER ET AL 1982
      8000     0.000
      8050     0.001
      8100     0.004
      8150     0.019
      8200     0.041
      8250     0.101
      8300     0.146
      8350     0.245
      8400     0.305
      8450     0.369
      8500     0.408
      8550     0.444
      8600     0.450
      8700     0.443
      8800     0.416
      8900     0.392
      9000     0.374
      9100     0.342
      9200     0.314
      9300     0.287
      9400     0.260
      9500     0.235
      9600     0.208
      9700     0.185
      9800     0.163
      9900     0.140
     10000     0.121
     10200     0.095
     10400     0.056
     10600     0.028
     10800     0.009
     10900     0.005
     11000     0.000
