# This is a Kurucz model F star at T_eff=7000K, [Fe/H]=-2, log10(g)=4.5,
# provided by Christy Tremonti on 1 Nov 2002.
# The original reference is Gray & Corbally, 1994, AJ 107, 742.
# There are some updates in Gray, Graham, & Hoyt 2001, AJ, 121, 2159.
# Gray's code SPECTRUM is available
#   http://www.acs.appstate.edu/dept/physics/spectrum/spectrum.html
# You can't download the models -- you have to run them.  Tremonti has
# then convolved these to something like SDSS resolution.
#
# Note that this spectrum is 0-indexed row #70 of the file:
#   $IDLSPEC2D_DIR/etc/kurucz_stds_interp.fit
# checked into idlspec2d v4_9_13.  I have converted the wavelength
# scale from vacuum to air.
#
# Eventually, Tremonti has suggested that we switch to the empirical
# spectra from STELIB.  See http://webast.ast.obs-mip.fr/stelib
#
 3002.5716  4.40778e+06
 3003.2631  4.80785e+06
 3003.9547  5.24751e+06
 3004.6465  5.47475e+06
 3005.3385  5.51831e+06
 3006.0306  5.56730e+06
 3006.7229  5.33692e+06
 3007.4153  5.05834e+06
 3008.1079  5.07139e+06
 3008.8006  5.31288e+06
 3009.4936  5.12362e+06
 3010.1866  5.47198e+06
 3010.8799  5.55665e+06
 3011.5732  5.31236e+06
 3012.2668  5.31527e+06
 3012.9605  5.54208e+06
 3013.6544  5.54480e+06
 3014.3484  5.40825e+06
 3015.0426  5.25537e+06
 3015.7369  5.36235e+06
 3016.4314  5.35156e+06
 3017.1261  5.24087e+06
 3017.8209  5.24892e+06
 3018.5159  5.31206e+06
 3019.2111  5.12304e+06
 3019.9064  5.19525e+06
 3020.6019  4.07297e+06
 3021.2975  4.61886e+06
 3021.9933  5.46280e+06
 3022.6892  5.59036e+06
 3023.3853  5.49383e+06
 3024.0816  5.20758e+06
 3024.7780  5.47799e+06
 3025.4746  5.12267e+06
 3026.1714  5.04987e+06
 3026.8683  5.37836e+06
 3027.5654  5.57722e+06
 3028.2626  5.57889e+06
 3028.9600  5.55860e+06
 3029.6575  5.32550e+06
 3030.3552  5.19473e+06
 3031.0531  5.17251e+06
 3031.7512  5.19965e+06
 3032.4494  5.51536e+06
 3033.1477  5.50472e+06
 3033.8462  5.49829e+06
 3034.5449  5.55368e+06
 3035.2437  5.58962e+06
 3035.9427  5.60763e+06
 3036.6419  5.45639e+06
 3037.3412  4.92268e+06
 3038.0407  5.14252e+06
 3038.7404  5.51109e+06
 3039.4402  5.54224e+06
 3040.1401  5.31390e+06
 3040.8403  5.17786e+06
 3041.5405  5.10238e+06
 3042.2410  5.10198e+06
 3042.9416  5.33612e+06
 3043.6424  5.55546e+06
 3044.3433  5.52728e+06
 3045.0444  5.44673e+06
 3045.7457  5.57110e+06
 3046.4471  5.53300e+06
 3047.1487  5.20160e+06
 3047.8504  5.06567e+06
 3048.5523  5.54629e+06
 3049.2544  5.59868e+06
 3049.9566  5.49547e+06
 3050.6590  5.13460e+06
 3051.3615  5.44693e+06
 3052.0642  5.62899e+06
 3052.7671  5.59169e+06
 3053.4702  5.49701e+06
 3054.1734  5.26311e+06
 3054.8767  5.42247e+06
 3055.5802  5.52959e+06
 3056.2839  5.49852e+06
 3056.9878  5.00861e+06
 3057.6918  4.63038e+06
 3058.3959  5.20146e+06
 3059.1003  4.96710e+06
 3059.8048  5.30206e+06
 3060.5094  5.57091e+06
 3061.2142  5.55491e+06
 3061.9192  5.41698e+06
 3062.6244  5.47931e+06
 3063.3297  5.59508e+06
 3064.0351  5.52338e+06
 3064.7408  5.40521e+06
 3065.4466  5.51246e+06
 3066.1525  5.12793e+06
 3066.8586  4.95378e+06
 3067.5649  5.13501e+06
 3068.2714  5.42251e+06
 3068.9780  5.61344e+06
 3069.6847  5.64003e+06
 3070.3917  5.56162e+06
 3071.0987  5.44898e+06
 3071.8060  5.35764e+06
 3072.5134  5.24085e+06
 3073.2210  5.26705e+06
 3073.9288  5.55495e+06
 3074.6367  5.47224e+06
