# Table 11 from Landolt, A.U. (1992), AJ, 104, 340.
# Wavelength in Angstroms (col 1) and quantum efficiency in percent (col 2)
# for CTIO's RCA 3103A photomultiplier, serial #N49701.
# Note that multiplying 1/1239.5 times wavelength times Q.E.
# yields the absolute sensitivity in ma/W.  For example, the
# sensitivity at 2000 Ang equals 2000*4.90/1239.5 = 7.91 ma/W.
2000   4.90
2100   9.73
2200  12.96
2300  15.63
2400  17.82
2500  18.84
2600  19.55
2700  19.74
2800  20.30
2900  20.60
3000  20.80
3100  20.90
3200  21.00
3300  20.90
3400  20.80
3500  20.60
3600  20.30
3700  20.00
3800  19.60
3900  19.10
4000  18.70
4100  18.40
4200  18.10
4300  17.80
4400  17.50
4500  17.10
4600  16.80
4700  16.50
4800  16.20
4900  15.85
5000  15.60
5100  15.40
5200  15.20
5300  14.90
5400  14.60
5500  14.40
5600  14.20
5700  14.10
5800  13.90
5900  13.70
6000  13.50
6100  13.30
6200  13.10
6300  12.90
6400  12.70
6500  12.60
6600  12.45
6700  12.30
6800  12.10
6900  12.00
7000  11.80
7100  11.70
7200  11.40
7300  11.30
7400  11.25
7500  11.20
7600  11.10
7700  10.95
7800  10.80
7900  10.70
8000  10.60
8100  10.40
8200  10.30
8300  10.20
8400   9.80
8500   9.40
8600   8.60
8700   7.10
8800   5.10
8900   2.20
9000   0.55
