# SDSS  g filter
# Includes two reflections from aluminum, transmission function of the filter
# and optics, and the quantum efficiency of the detector.  Does NOT include
# atmospheric absorption.
# Reference Frei, Z. & Gunn, J.E. 1994, A.J., 108, 1476.
      3000    0.0000	
      3100    0.0000	
      3200    0.0000	
      3300    0.0000	
      3400    0.0000	
      3500    0.0000	
      3600    0.0000	
      3700    0.0000	
      3800    0.0000
      3900    0.0085
      4000    0.1667
      4100    0.2793
      4200    0.3242
      4300    0.3456
      4400    0.3683
      4500    0.3776
      4600    0.3821
      4700    0.3948
      4800    0.4079
      4900    0.4093
      5000    0.4183
      5100    0.4237
      5200    0.4222
      5300    0.4241
      5400    0.3621
      5500    0.1551
      5550    0.0882
      5600    0.0500
      5700    0.0180
      5800    0.0080
      5900    0.0041
      6000    0.0025
      6100    0.0015
      6200    0.0011
      6300    0.0008
      6400    0.0006
      6500    0.0005
      6600    0.0004
      6700    0.0003
      6800    0.0003
      6900    0.0002
      7000    0.0002
      7100    0.0002
      7200    0.0003
      7300    0.0004
      7400    0.0005
      7500    0.0005
      7600    0.0003
      7650    0.0002
      7700    0.0001
      7800    0.0000
      7900    0.0000
      8000    0.0000
      8100    0.0000
      8200    0.0000
      8300    0.0000
      8400    0.0000
      8500    0.0000
      8600    0.0000
      8700    0.0000
      8800    0.0000
      8900    0.0000
      9000    0.0000
      9100    0.0000
      9200    0.0000
      9300    0.0000
      9400    0.0000
      9500    0.0000
      9600    0.0000
      9700    0.0000
      9800    0.0000
      9900    0.0000
      10000    0.0000
      10200    0.0000
      10400    0.0000
      10600    0.0000
      10800    0.0000
      11000    0.0000
      12000    0.0000
