# SDSS  i filter
# Includes two reflections from aluminum, transmission function of the filter
# and optics, and the quantum efficiency of the detector.  Does NOT include
# atmospheric absorption.
# Reference Frei, Z. & Gunn, J.E. 1994, A.J., 108, 1476.
      3000    0.0000
      3300    0.0000
      3600    0.0000
      3900    0.0000
      4200    0.0000
      4500    0.0000
      4800    0.0000
      5100    0.0000
      5400    0.0000
      5700    0.0000
      6000    0.0000
      6100    0.0000
      6200    0.0000
      6300    0.0000
      6400    0.0000
      6500    0.0000
      6600    0.0000
      6700    0.0002
      6750    0.0012
      6800    0.0073
      6900    0.0733
      7000    0.2524
      7100    0.3883
      7200    0.4413
      7300    0.4469
      7400    0.4415
      7500    0.4290
      7600    0.4198
      7700    0.4096
      7800    0.3977
      7900    0.3875
      8000    0.3803
      8100    0.3697
      8200    0.3544
      8300    0.3430
      8400    0.3313
      8500    0.2449
      8600    0.1034
      8700    0.0353
      8800    0.0131
      8900    0.0056
      9000    0.0027
      9100    0.0015
      9200    0.0009
      9300    0.0006
      9400    0.0004
      9500    0.0003
      9600    0.0002
      9700    0.0002
      9800    0.0002
      9900    0.0001
     10000    0.0001
     10100    0.0001
     10200    0.0001
     10300    0.0001
     10400    0.0000
     10500    0.0000
     10600    0.0000
     10800    0.0000
     11000    0.0000
     12000    0.0000
