# SDSS  r filter
# Includes two reflections from aluminum, transmission function of the filter
# and optics, and the quantum efficiency of the detector.  Does NOT include
# atmospheric absorption.
# Reference Frei, Z. & Gunn, J.E. 1994, A.J., 108, 1476.
      3000    0.0000
      3200    0.0000
      3500    0.0000
      3800    0.0000
      4000    0.0000
      4200    0.0000
      4500    0.0000
      4800    0.0000
      5000    0.0000
      5100    0.0000
      5200    0.0000
      5300    0.0000
      5400    0.0104
      5450    0.0390
      5500    0.1457
      5600    0.3398
      5700    0.4421
      5800    0.4737
      5900    0.4954
      6000    0.5080
      6100    0.5132
      6200    0.5142
      6300    0.5164
      6400    0.5161
      6500    0.5171
      6600    0.5123
      6700    0.5049
      6800    0.5009
      6900    0.4891
      7000    0.4048
      7050    0.2050
      7100    0.0926
      7150    0.0435
      7200    0.0204
      7250    0.0134
      7300    0.0076
      7400    0.0044
      7500    0.0037
      7600    0.0041
      7700    0.0036
      7800    0.0019
      7900    0.0010
      8000    0.0007
      8100    0.0006
      8200    0.0008
      8300    0.0011
      8400    0.0011
      8500    0.0006
      8600    0.0004
      8700    0.0003
      8800    0.0002
      8900    0.0003
      9000    0.0005
      9100    0.0014
      9200    0.0014
      9300    0.0004
      9400    0.0001
      9500    0.0001
      9600    0.0001
      9700    0.0001
      9800    0.0001
      9900    0.0001
     10000    0.0001
     10100    0.0002
     10200    0.0003
     10300    0.0009
     10400    0.0005
     10500    0.0001
     10600    0.0001
     10700    0.0000
     10800    0.0000
     10900    0.0000
     11000    0.0000
     12000    0.0000
