# SDSS  u filter
# Includes two reflections from aluminum, transmission function of the filter
# and optics, and the quantum efficiency of the detector.  Does NOT include
# atmospheric absorption.
# Reference Frei, Z. & Gunn, J.E. 1994, A.J., 108, 1476.
      3000    0.0000
      3025    0.0005
      3050    0.0010
      3075    0.0025
      3100    0.0065
      3125    0.0145
      3150    0.0294
      3175    0.0669
      3200    0.1464
      3225    0.1666
      3250    0.1837
      3300    0.2080
      3400    0.2825
      3500    0.2875
      3600    0.2806
      3700    0.2487
      3800    0.1659
      3900    0.0350
      3925    0.0151
      3950    0.0052
      3975    0.0022
      4000    0.0008
      4100    0.0000
      4200    0.0000
      4300    0.0000
      4400    0.0000
      4500    0.0000
      4600    0.0000
      4700    0.0000
      4800    0.0000
      4900    0.0000
      5000    0.0000
      5100    0.0000
      5200    0.0000
      5300    0.0000
      5400    0.0000
      5500    0.0000
      5600    0.0000
      5700    0.0000
      5800    0.0000
      5900    0.0000
      6000    0.0000
      6100    0.0000
      6200    0.0000
      6300    0.0000
      6400    0.0000
      6500    0.0000
      6600    0.0000
      6700    0.0000
      6800    0.0001
      6900    0.0001
      7000    0.0001
      7100    0.0001
      7200    0.0001
      7300    0.0001
      7400    0.0000
      7500    0.0000
      7600    0.0000
      7700    0.0000
      7800    0.0000
      7900    0.0000
      8000    0.0000
      8100    0.0000
      8200    0.0000
      8300    0.0000
      8400    0.0001
      8500    0.0001
      8600    0.0000
      8700    0.0000
      8800    0.0000
      9000    0.0000
     10000    0.0000
     11000    0.0000
     12000    0.0000
