# SDSS  z filter
# Includes two reflections from aluminum, transmission function of the filter
# and optics, and the quantum efficiency of the detector.  Does NOT include
# atmospheric absorption.
# Reference Frei, Z. & Gunn, J.E. 1994, A.J., 108, 1476.
      3000    0.0000
      3400    0.0000
      3800    0.0000
      4200    0.0000
      4600    0.0000
      5000    0.0000
      5400    0.0000
      5800    0.0000
      6200    0.0000
      6600    0.0000
      7000    0.0000
      7300    0.0000
      7500    0.0000
      7700    0.0000
      7800    0.0000
      7900    0.0000
      8000    0.0002
      8100    0.0025
      8200    0.0143
      8300    0.0410
      8400    0.0712
      8500    0.0914
      8600    0.1029
      8700    0.1077
      8800    0.1096
      8900    0.1125
      9000    0.1162
      9100    0.1143
      9200    0.1116
      9300    0.1082
      9400    0.1039
      9500    0.0987
      9600    0.0917
      9700    0.0836
      9800    0.0743
      9900    0.0638
     10000    0.0523
     10100    0.0466
     10200    0.0412
     10300    0.0360
     10400    0.0312
     10500    0.0266
     10600    0.0221
     10700    0.0179
     10800    0.0139
     10900    0.0102
     11000    0.0067
     11100    0.0047
     11200    0.0034
     11300    0.0027
     11400    0.0026
     11500    0.0018
     11600    0.0010
     11700    0.0005
     11800    0.0000
     11900    0.0000
     12000    0.0000
