#  Table wf2f702wsys.tab  Mon 12:21:53 02-Jun-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
            1850.     4.233167E-8
         1851.651     9.584529E-8
         1853.301     1.498140E-7
         1854.956     2.043965E-7
         1856.611     2.594185E-7
         1858.267     3.149588E-7
         1859.925     3.710530E-7
         1861.584     3.380939E-7
         1863.246     3.005416E-7
         1864.909     2.626176E-7
         1866.572     2.243482E-7
         1868.237     1.857039E-7
         1869.904     1.466626E-7
         1871.573     1.806358E-7
         1873.242     2.194060E-7
         1874.913     2.585401E-7
         1876.585     2.980427E-7
          1878.26     3.379449E-7
         1879.937     3.780745E-7
         1881.613     3.657798E-7
         1883.292     3.512961E-7
         1884.973     3.366741E-7
         1886.654     3.219306E-7
         1888.338     3.070469E-7
         1890.023     2.922106E-7
         1891.709     2.902307E-7
         1893.396     2.882265E-7
         1895.086     2.861967E-7
         1896.775     2.841452E-7
         1898.469     2.820651E-7
         1900.163     2.770353E-7
         1901.857     2.444610E-7
         1903.555     2.115639E-7
         1905.254     1.783830E-7
         1906.953     1.449416E-7
         1908.655     1.111954E-7
         1910.357     8.149213E-8
         1912.061     6.783340E-8
         1913.768     5.404998E-8
         1915.476     4.014834E-8
         1917.184     2.613715E-8
         1918.894     1.200715E-8
         1920.606     8.647886E-9
          1922.32     2.524285E-8
         1924.035     4.197678E-8
         1925.752     5.884163E-8
          1927.47     7.585578E-8
         1929.189     9.300150E-8
          1930.91     9.527627E-8
         1932.634     8.412883E-8
         1934.358     7.288524E-8
         1936.084     6.155248E-8
         1937.811     5.012155E-8
          1939.54     3.858644E-8
          1941.27     3.145493E-8
         1943.003     2.589442E-8
         1944.737     2.028617E-8
          1946.47     1.463723E-8
         1948.207     8.933533E-9
         1949.947     3.178449E-9
         1951.685     4.387025E-9
         1953.427     5.828157E-9
         1955.171     7.281212E-9
         1956.913     8.744466E-9
          1958.66     1.022155E-8
         1960.408     1.124900E-8
         1962.157     1.076140E-8
         1963.908     1.026910E-8
         1965.658     9.773014E-9
         1967.413     9.271916E-9
         1969.169     8.766353E-9
         1970.925     1.352400E-8
         1972.684     2.308270E-8
         1974.444     3.271488E-8
         1976.205     4.242671E-8
         1977.969     5.222996E-8
         1979.734     6.210178E-8
           1981.5     6.512580E-8
         1983.268     6.693874E-8
         1985.037     6.876395E-8
         1986.809     7.060352E-8
         1988.581     7.245528E-8
         1990.355     7.148710E-8
         1992.131     5.914731E-8
         1993.908     4.670398E-8
         1995.688     3.414126E-8
         1997.467     2.149774E-8
          1999.25     8.734196E-9
         2001.034     3.344211E-9
         2002.818     3.358844E-9
         2004.606     3.373541E-9
         2006.396     3.388267E-9
         2008.184     3.403011E-9
         2009.976     3.417811E-9
         2011.769     3.816824E-9
         2013.565     4.224948E-9
         2015.362     4.636890E-9
         2017.158     5.052129E-9
         2018.958     5.471698E-9
          2020.76     6.292212E-9
         2022.563     7.666242E-9
         2024.368     9.054030E-9
         2026.173     1.045376E-8
         2027.982     1.186739E-8
         2029.791     1.329315E-8
         2031.602     2.430084E-8
         2033.414     3.666126E-8
         2035.228     4.913656E-8
         2037.044     6.173492E-8
         2038.861     7.444164E-8
         2040.681     7.721462E-8
         2042.502     6.310552E-8
         2044.324     4.887158E-8
