az	el
-180	-90
-178	-90
-176	-90
-174	-90
-172	-90
-170	-90
-168	-90
-166	-90
-164	-90
-162	-90
-160	-90
-158	-90
-156	-90
-154	-90
-152	-90
-150	-90
-148	-90
-146	-90
-144	-90
-142	-90
-140	-90
-138	-90
-136	-90
-134	-90
-132	-90
-130	-90
-128	-90
-126	-90
-124	-90
-122	-90
-120	-90
-118	-90
-116	-90
-114	-90
-112	-90
-110	-90
-108	-90
-106	-90
-104	-90
-102	-90
-100	-90
-98	-90
-96	-90
-94	-90
-92	-90
-90	-90
-88	-90
-86	-90
-84	-90
-82	-90
-80	-90
-78	-90
-76	-90
-74	-90
-72	-90
-70	-90
-68	-90
-66	-90
-64	-90
-62	-90
-60	-90
-58	-90
-56	-90
-54	-90
-52	-90
-50	-90
-48	-90
-46	-90
-44	-90
-42	-90
-40	-90
-38	-90
-36	-90
-34	-90
-32	-90
-30	-90
-28	-90
-26	-90
-24	-90
-22	-90
-20	-90
-18	-90
-16	-90
-14	-90
-12	-90
-10	-90
-8	-90
-6	-90
-4	-90
-2	-90
0	-90
2	-90
4	-90
6	-90
8	-90
10	-90
12	-90
14	-90
16	-90
18	-90
20	-90
22	-90
24	-90
26	-90
28	-90
30	-90
32	-90
34	-90
36	-90
38	-90
40	-90
42	-90
44	-90
46	-90
48	-90
50	-90
52	-90
54	-90
56	-90
58	-90
60	-90
62	-90
64	-90
66	-90
68	-90
70	-90
72	-90
74	-90
76	-90
78	-90
80	-90
82	-90
84	-90
86	-90
88	-90
90	-90
92	-90
94	-90
96	-90
98	-90
100	-90
102	-90
104	-90
106	-90
108	-90
110	-90
112	-90
114	-90
116	-90
118	-90
120	-90
122	-90
124	-90
126	-90
128	-90
130	-90
132	-90
134	-90
136	-90
138	-90
140	-90
142	-90
144	-90
146	-90
148	-90
150	-90
152	-90
154	-90
156	-90
158	-90
160	-90
162	-90
164	-90
166	-90
168	-90
170	-90
172	-90
174	-90
176	-90
178	-90
180	-90
-180	-88
-178	-88
-176	-88
-174	-88
-172	-88
-170	-88
-168	-88
-166	-88
-164	-88
-162	-88
-160	-88
-158	-88
-156	-88
-154	-88
-152	-88
-150	-88
-148	-88
-146	-88
-144	-88
-142	-88
-140	-88
-138	-88
-136	-88
-134	-88
-132	-88
-130	-88
-128	-88
-126	-88
-124	-88
-122	-88
-120	-88
-118	-88
-116	-88
-114	-88
-112	-88
-110	-88
-108	-88
-106	-88
-104	-88
-102	-88
-100	-88
-98	-88
-96	-88
-94	-88
-92	-88
-90	-88
-88	-88
-86	-88
-84	-88
-82	-88
-80	-88
-78	-88
-76	-88
-74	-88
-72	-88
-70	-88
-68	-88
-66	-88
-64	-88
-62	-88
-60	-88
-58	-88
-56	-88
-54	-88
-52	-88
-50	-88
-48	-88
-46	-88
-44	-88
-42	-88
-40	-88
-38	-88
-36	-88
-34	-88
-32	-88
-30	-88
-28	-88
-26	-88
-24	-88
-22	-88
-20	-88
-18	-88
-16	-88
-14	-88
-12	-88
-10	-88
-8	-88
-6	-88
-4	-88
-2	-88
0	-88
2	-88
4	-88
6	-88
8	-88
10	-88
12	-88
14	-88
16	-88
18	-88
20	-88
22	-88
24	-88
26	-88
28	-88
30	-88
32	-88
34	-88
36	-88
38	-88
40	-88
42	-88
44	-88
46	-88
48	-88
50	-88
52	-88
54	-88
56	-88
58	-88
60	-88
62	-88
64	-88
66	-88
68	-88
70	-88
72	-88
74	-88
76	-88
78	-88
80	-88
82	-88
84	-88
86	-88
88	-88
90	-88
92	-88
94	-88
96	-88
98	-88
100	-88
102	-88
104	-88
106	-88
108	-88
110	-88
112	-88
114	-88
116	-88
118	-88
120	-88
122	-88
124	-88
126	-88
128	-88
130	-88
132	-88
134	-88
136	-88
138	-88
140	-88
142	-88
144	-88
146	-88
148	-88
150	-88
152	-88
154	-88
156	-88
158	-88
160	-88
162	-88
164	-88
166	-88
168	-88
170	-88
172	-88
174	-88
176	-88
178	-88
180	-88
-180	-86
-178	-86
-176	-86
-174	-86
-172	-86
-170	-86
-168	-86
-166	-86
-164	-86
-162	-86
-160	-86
-158	-86
-156	-86
-154	-86
-152	-86
-150	-86
-148	-86
-146	-86
-144	-86
-142	-86
-140	-86
-138	-86
-136	-86
-134	-86
-132	-86
-130	-86
-128	-86
-126	-86
-124	-86
-122	-86
-120	-86
-118	-86
-116	-86
-114	-86
-112	-86
-110	-86
-108	-86
-106	-86
-104	-86
-102	-86
-100	-86
-98	-86
-96	-86
-94	-86
-92	-86
-90	-86
-88	-86
-86	-86
-84	-86
-82	-86
-80	-86
-78	-86
-76	-86
-74	-86
-72	-86
-70	-86
-68	-86
-66	-86
-64	-86
-62	-86
-60	-86
-58	-86
-56	-86
-54	-86
-52	-86
-50	-86
-48	-86
-46	-86
-44	-86
-42	-86
-40	-86
-38	-86
-36	-86
-34	-86
-32	-86
-30	-86
-28	-86
-26	-86
-24	-86
-22	-86
-20	-86
-18	-86
-16	-86
-14	-86
-12	-86
-10	-86
-8	-86
-6	-86
-4	-86
-2	-86
0	-86
2	-86
4	-86
6	-86
8	-86
10	-86
12	-86
14	-86
16	-86
18	-86
20	-86
22	-86
24	-86
26	-86
28	-86
30	-86
32	-86
34	-86
36	-86
38	-86
40	-86
42	-86
44	-86
46	-86
48	-86
50	-86
52	-86
54	-86
56	-86
58	-86
60	-86
62	-86
64	-86
66	-86
68	-86
70	-86
72	-86
74	-86
76	-86
78	-86
80	-86
82	-86
84	-86
86	-86
88	-86
90	-86
92	-86
94	-86
96	-86
98	-86
100	-86
102	-86
104	-86
106	-86
108	-86
110	-86
112	-86
114	-86
116	-86
118	-86
120	-86
122	-86
124	-86
126	-86
128	-86
130	-86
132	-86
134	-86
136	-86
138	-86
140	-86
142	-86
144	-86
146	-86
148	-86
150	-86
152	-86
154	-86
156	-86
158	-86
160	-86
162	-86
164	-86
166	-86
168	-86
170	-86
172	-86
174	-86
176	-86
178	-86
180	-86
-180	-84
-178	-84
-176	-84
-174	-84
-172	-84
-170	-84
-168	-84
-166	-84
-164	-84
-162	-84
-160	-84
-158	-84
-156	-84
-154	-84
-152	-84
-150	-84
-148	-84
-146	-84
-144	-84
-142	-84
-140	-84
-138	-84
-136	-84
-134	-84
-132	-84
-130	-84
-128	-84
-126	-84
-124	-84
-122	-84
-120	-84
-118	-84
-116	-84
-114	-84
-112	-84
-110	-84
-108	-84
-106	-84
-104	-84
-102	-84
-100	-84
-98	-84
-96	-84
-94	-84
-92	-84
-90	-84
-88	-84
-86	-84
-84	-84
-82	-84
-80	-84
-78	-84
-76	-84
-74	-84
-72	-84
-70	-84
-68	-84
-66	-84
-64	-84
-62	-84
-60	-84
-58	-84
-56	-84
-54	-84
-52	-84
-50	-84
-48	-84
-46	-84
-44	-84
-42	-84
-40	-84
-38	-84
-36	-84
-34	-84
-32	-84
-30	-84
-28	-84
-26	-84
-24	-84
-22	-84
-20	-84
-18	-84
-16	-84
-14	-84
-12	-84
-10	-84
-8	-84
-6	-84
-4	-84
-2	-84
0	-84
2	-84
4	-84
6	-84
8	-84
10	-84
12	-84
14	-84
16	-84
18	-84
20	-84
22	-84
24	-84
26	-84
28	-84
30	-84
32	-84
34	-84
36	-84
38	-84
40	-84
42	-84
44	-84
46	-84
48	-84
50	-84
52	-84
54	-84
56	-84
58	-84
60	-84
62	-84
64	-84
66	-84
68	-84
70	-84
72	-84
74	-84
76	-84
78	-84
80	-84
82	-84
84	-84
86	-84
88	-84
90	-84
92	-84
94	-84
96	-84
98	-84
100	-84
102	-84
104	-84
106	-84
108	-84
110	-84
112	-84
114	-84
116	-84
118	-84
120	-84
122	-84
124	-84
126	-84
128	-84
130	-84
132	-84
134	-84
136	-84
138	-84
140	-84
142	-84
144	-84
146	-84
148	-84
150	-84
152	-84
154	-84
156	-84
158	-84
160	-84
162	-84
164	-84
166	-84
168	-84
170	-84
172	-84
174	-84
176	-84
178	-84
180	-84
-180	-82
-178	-82
-176	-82
-174	-82
-172	-82
-170	-82
-168	-82
-166	-82
-164	-82
-162	-82
-160	-82
-158	-82
-156	-82
-154	-82
-152	-82
-150	-82
-148	-82
-146	-82
-144	-82
-142	-82
-140	-82
-138	-82
-136	-82
-134	-82
-132	-82
-130	-82
-128	-82
-126	-82
-124	-82
-122	-82
-120	-82
-118	-82
-116	-82
-114	-82
-112	-82
-110	-82
-108	-82
-106	-82
-104	-82
-102	-82
-100	-82
-98	-82
-96	-82
-94	-82
-92	-82
-90	-82
-88	-82
-86	-82
-84	-82
-82	-82
-80	-82
-78	-82
-76	-82
-74	-82
-72	-82
-70	-82
-68	-82
-66	-82
-64	-82
-62	-82
-60	-82
-58	-82
-56	-82
-54	-82
-52	-82
-50	-82
-48	-82
-46	-82
-44	-82
-42	-82
-40	-82
-38	-82
-36	-82
-34	-82
-32	-82
-30	-82
-28	-82
-26	-82
-24	-82
-22	-82
-20	-82
-18	-82
-16	-82
-14	-82
-12	-82
-10	-82
-8	-82
-6	-82
-4	-82
-2	-82
0	-82
2	-82
4	-82
6	-82
8	-82
10	-82
12	-82
14	-82
16	-82
18	-82
20	-82
22	-82
24	-82
26	-82
28	-82
30	-82
32	-82
34	-82
36	-82
38	-82
40	-82
42	-82
44	-82
46	-82
48	-82
50	-82
52	-82
54	-82
56	-82
58	-82
60	-82
62	-82
64	-82
66	-82
68	-82
70	-82
72	-82
74	-82
76	-82
78	-82
80	-82
82	-82
84	-82
86	-82
88	-82
90	-82
92	-82
94	-82
96	-82
98	-82
100	-82
102	-82
104	-82
106	-82
108	-82
110	-82
112	-82
114	-82
116	-82
118	-82
120	-82
122	-82
124	-82
126	-82
128	-82
130	-82
132	-82
134	-82
136	-82
138	-82
140	-82
142	-82
144	-82
146	-82
148	-82
150	-82
152	-82
154	-82
156	-82
158	-82
160	-82
162	-82
164	-82
166	-82
168	-82
170	-82
172	-82
174	-82
176	-82
178	-82
180	-82
-180	-80
-178	-80
-176	-80
-174	-80
-172	-80
-170	-80
-168	-80
-166	-80
-164	-80
-162	-80
-160	-80
-158	-80
-156	-80
-154	-80
-152	-80
-150	-80
-148	-80
-146	-80
-144	-80
-142	-80
-140	-80
-138	-80
-136	-80
-134	-80
-132	-80
-130	-80
-128	-80
-126	-80
-124	-80
-122	-80
-120	-80
-118	-80
-116	-80
-114	-80
-112	-80
-110	-80
-108	-80
-106	-80
-104	-80
-102	-80
-100	-80
-98	-80
-96	-80
-94	-80
-92	-80
-90	-80
-88	-80
-86	-80
-84	-80
-82	-80
-80	-80
-78	-80
-76	-80
-74	-80
-72	-80
-70	-80
-68	-80
-66	-80
-64	-80
-62	-80
-60	-80
-58	-80
-56	-80
-54	-80
-52	-80
-50	-80
-48	-80
-46	-80
-44	-80
-42	-80
-40	-80
-38	-80
-36	-80
-34	-80
-32	-80
-30	-80
-28	-80
-26	-80
-24	-80
-22	-80
-20	-80
-18	-80
-16	-80
-14	-80
-12	-80
-10	-80
-8	-80
-6	-80
-4	-80
-2	-80
0	-80
2	-80
4	-80
6	-80
8	-80
10	-80
12	-80
14	-80
16	-80
18	-80
20	-80
22	-80
24	-80
26	-80
28	-80
30	-80
32	-80
34	-80
36	-80
38	-80
40	-80
42	-80
44	-80
46	-80
48	-80
50	-80
52	-80
54	-80
56	-80
58	-80
60	-80
62	-80
64	-80
66	-80
68	-80
70	-80
72	-80
74	-80
76	-80
78	-80
80	-80
82	-80
84	-80
86	-80
88	-80
90	-80
92	-80
94	-80
96	-80
98	-80
100	-80
102	-80
104	-80
106	-80
108	-80
110	-80
112	-80
114	-80
116	-80
118	-80
120	-80
122	-80
124	-80
126	-80
128	-80
130	-80
132	-80
134	-80
136	-80
138	-80
140	-80
142	-80
144	-80
146	-80
148	-80
150	-80
