az	el	
145	-5
146	-5
147	-5
148	-5
149	-5
150	-5
151	-5
152	-5
153	-5
154	-5
155	-5
156	-5
157	-5
158	-5
159	-5
160	-5
161	-5
162	-5
163	-5
164	-5
165	-5
166	-5
167	-5
168	-5
169	-5
170	-5
171	-5
172	-5
173	-5
174	-5
175	-5
176	-5
177	-5
178	-5
179	-5
180	-5
181	-5
182	-5
183	-5
184	-5
185	-5
186	-5
187	-5
188	-5
189	-5
190	-5
191	-5
192	-5
193	-5
194	-5
195	-5
196	-5
197	-5
198	-5
199	-5
200	-5
201	-5
202	-5
203	-5
204	-5
205	-5
206	-5
207	-5
208	-5
209	-5
210	-5
211	-5
212	-5
213	-5
214	-5
215	-5
216	-5
217	-5
218	-5
219	-5
220	-5
221	-5
222	-5
223	-5
224	-5
225	-5
145	-4
146	-4
147	-4
148	-4
149	-4
150	-4
151	-4
152	-4
153	-4
154	-4
155	-4
156	-4
157	-4
158	-4
159	-4
160	-4
161	-4
162	-4
163	-4
164	-4
165	-4
166	-4
167	-4
168	-4
169	-4
170	-4
171	-4
172	-4
173	-4
174	-4
175	-4
176	-4
177	-4
178	-4
179	-4
180	-4
181	-4
182	-4
183	-4
184	-4
185	-4
186	-4
187	-4
188	-4
189	-4
190	-4
191	-4
192	-4
193	-4
194	-4
195	-4
196	-4
197	-4
198	-4
199	-4
200	-4
201	-4
202	-4
203	-4
204	-4
205	-4
206	-4
207	-4
208	-4
209	-4
210	-4
211	-4
212	-4
213	-4
214	-4
215	-4
216	-4
217	-4
218	-4
219	-4
220	-4
221	-4
222	-4
223	-4
224	-4
225	-4
145	-3
146	-3
147	-3
148	-3
149	-3
150	-3
151	-3
152	-3
153	-3
154	-3
155	-3
156	-3
157	-3
158	-3
159	-3
160	-3
161	-3
162	-3
163	-3
164	-3
165	-3
166	-3
167	-3
168	-3
169	-3
170	-3
171	-3
172	-3
173	-3
174	-3
175	-3
176	-3
177	-3
178	-3
179	-3
180	-3
181	-3
182	-3
183	-3
184	-3
185	-3
186	-3
187	-3
188	-3
189	-3
190	-3
191	-3
192	-3
193	-3
194	-3
195	-3
196	-3
197	-3
198	-3
199	-3
200	-3
201	-3
202	-3
203	-3
204	-3
205	-3
206	-3
207	-3
208	-3
209	-3
210	-3
211	-3
212	-3
213	-3
214	-3
215	-3
216	-3
217	-3
218	-3
219	-3
220	-3
221	-3
222	-3
223	-3
224	-3
225	-3
145	-2
146	-2
147	-2
148	-2
149	-2
150	-2
151	-2
152	-2
153	-2
154	-2
155	-2
156	-2
157	-2
158	-2
159	-2
160	-2
161	-2
162	-2
163	-2
164	-2
165	-2
166	-2
167	-2
168	-2
169	-2
170	-2
171	-2
172	-2
173	-2
174	-2
175	-2
176	-2
177	-2
178	-2
179	-2
180	-2
181	-2
182	-2
183	-2
184	-2
185	-2
186	-2
187	-2
188	-2
189	-2
190	-2
191	-2
192	-2
193	-2
194	-2
195	-2
196	-2
197	-2
198	-2
199	-2
200	-2
201	-2
202	-2
203	-2
204	-2
205	-2
206	-2
207	-2
208	-2
209	-2
210	-2
211	-2
212	-2
213	-2
214	-2
215	-2
216	-2
217	-2
218	-2
219	-2
220	-2
221	-2
222	-2
223	-2
224	-2
225	-2
145	-1
146	-1
147	-1
148	-1
149	-1
150	-1
151	-1
152	-1
153	-1
154	-1
155	-1
156	-1
157	-1
158	-1
159	-1
160	-1
161	-1
162	-1
163	-1
164	-1
165	-1
166	-1
167	-1
168	-1
169	-1
170	-1
171	-1
172	-1
173	-1
174	-1
175	-1
176	-1
177	-1
178	-1
179	-1
180	-1
181	-1
182	-1
183	-1
184	-1
185	-1
186	-1
187	-1
188	-1
189	-1
190	-1
191	-1
192	-1
193	-1
194	-1
195	-1
196	-1
197	-1
198	-1
199	-1
200	-1
201	-1
202	-1
203	-1
204	-1
205	-1
206	-1
207	-1
208	-1
209	-1
210	-1
211	-1
212	-1
213	-1
214	-1
215	-1
216	-1
217	-1
218	-1
219	-1
220	-1
221	-1
222	-1
223	-1
224	-1
225	-1
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
