az	el
-40	-35
-39	-35
-38	-35
-37	-35
-36	-35
-35	-35
-34	-35
-33	-35
-32	-35
-31	-35
-30	-35
-29	-35
-28	-35
-27	-35
-26	-35
-25	-35
-24	-35
-23	-35
-22	-35
-21	-35
-20	-35
-19	-35
-18	-35
-17	-35
-16	-35
-15	-35
-14	-35
-13	-35
-12	-35
-11	-35
-10	-35
-9	-35
-8	-35
-7	-35
-6	-35
-5	-35
-4	-35
-3	-35
-2	-35
-1	-35
0	-35
1	-35
2	-35
3	-35
4	-35
5	-35
6	-35
7	-35
8	-35
9	-35
10	-35
11	-35
12	-35
13	-35
14	-35
15	-35
16	-35
17	-35
18	-35
19	-35
20	-35
21	-35
22	-35
23	-35
24	-35
25	-35
26	-35
27	-35
28	-35
29	-35
30	-35
31	-35
32	-35
33	-35
34	-35
35	-35
36	-35
37	-35
38	-35
39	-35
40	-35
41	-35
42	-35
43	-35
44	-35
45	-35
46	-35
47	-35
48	-35
49	-35
50	-35
51	-35
52	-35
53	-35
54	-35
55	-35
-40	-34
-39	-34
-38	-34
-37	-34
-36	-34
-35	-34
-34	-34
-33	-34
-32	-34
-31	-34
-30	-34
-29	-34
-28	-34
-27	-34
-26	-34
-25	-34
-24	-34
-23	-34
-22	-34
-21	-34
-20	-34
-19	-34
-18	-34
-17	-34
-16	-34
-15	-34
-14	-34
-13	-34
-12	-34
-11	-34
-10	-34
-9	-34
-8	-34
-7	-34
-6	-34
-5	-34
-4	-34
-3	-34
-2	-34
-1	-34
0	-34
1	-34
2	-34
3	-34
4	-34
5	-34
6	-34
7	-34
8	-34
9	-34
10	-34
11	-34
12	-34
13	-34
14	-34
15	-34
16	-34
17	-34
18	-34
19	-34
20	-34
21	-34
22	-34
23	-34
24	-34
25	-34
26	-34
27	-34
28	-34
29	-34
30	-34
31	-34
32	-34
33	-34
34	-34
35	-34
36	-34
37	-34
38	-34
39	-34
40	-34
41	-34
42	-34
43	-34
44	-34
45	-34
46	-34
47	-34
48	-34
49	-34
50	-34
51	-34
52	-34
53	-34
54	-34
55	-34
-40	-33
-39	-33
-38	-33
-37	-33
-36	-33
-35	-33
-34	-33
-33	-33
-32	-33
-31	-33
-30	-33
-29	-33
-28	-33
-27	-33
-26	-33
-25	-33
-24	-33
-23	-33
-22	-33
-21	-33
-20	-33
-19	-33
-18	-33
-17	-33
-16	-33
-15	-33
-14	-33
-13	-33
-12	-33
-11	-33
-10	-33
-9	-33
-8	-33
-7	-33
-6	-33
-5	-33
-4	-33
-3	-33
-2	-33
-1	-33
0	-33
1	-33
2	-33
3	-33
4	-33
5	-33
6	-33
7	-33
8	-33
9	-33
10	-33
11	-33
12	-33
13	-33
14	-33
15	-33
16	-33
17	-33
18	-33
19	-33
20	-33
21	-33
22	-33
23	-33
24	-33
25	-33
26	-33
27	-33
28	-33
29	-33
30	-33
31	-33
32	-33
33	-33
34	-33
35	-33
36	-33
37	-33
38	-33
39	-33
40	-33
41	-33
42	-33
43	-33
44	-33
45	-33
46	-33
47	-33
48	-33
49	-33
50	-33
51	-33
52	-33
53	-33
54	-33
55	-33
-40	-32
-39	-32
-38	-32
-37	-32
-36	-32
-35	-32
-34	-32
-33	-32
-32	-32
-31	-32
-30	-32
-29	-32
-28	-32
-27	-32
-26	-32
-25	-32
-24	-32
-23	-32
-22	-32
-21	-32
-20	-32
-19	-32
-18	-32
-17	-32
-16	-32
-15	-32
-14	-32
-13	-32
-12	-32
-11	-32
-10	-32
-9	-32
-8	-32
-7	-32
-6	-32
-5	-32
-4	-32
-3	-32
-2	-32
-1	-32
0	-32
1	-32
2	-32
3	-32
4	-32
5	-32
6	-32
7	-32
8	-32
9	-32
10	-32
11	-32
12	-32
13	-32
14	-32
15	-32
16	-32
17	-32
18	-32
19	-32
20	-32
21	-32
22	-32
23	-32
24	-32
25	-32
26	-32
27	-32
28	-32
29	-32
30	-32
31	-32
32	-32
33	-32
34	-32
35	-32
36	-32
37	-32
38	-32
39	-32
40	-32
41	-32
42	-32
43	-32
44	-32
45	-32
46	-32
47	-32
48	-32
49	-32
50	-32
51	-32
52	-32
53	-32
54	-32
55	-32
-40	-31
-39	-31
-38	-31
-37	-31
-36	-31
-35	-31
-34	-31
-33	-31
-32	-31
-31	-31
-30	-31
-29	-31
-28	-31
-27	-31
-26	-31
-25	-31
-24	-31
-23	-31
-22	-31
-21	-31
-20	-31
-19	-31
-18	-31
-17	-31
-16	-31
-15	-31
-14	-31
-13	-31
-12	-31
-11	-31
-10	-31
-9	-31
-8	-31
-7	-31
-6	-31
-5	-31
-4	-31
-3	-31
-2	-31
-1	-31
0	-31
1	-31
2	-31
3	-31
4	-31
5	-31
6	-31
7	-31
8	-31
9	-31
10	-31
11	-31
12	-31
13	-31
14	-31
15	-31
16	-31
17	-31
18	-31
19	-31
20	-31
21	-31
22	-31
23	-31
24	-31
25	-31
26	-31
27	-31
28	-31
29	-31
30	-31
31	-31
32	-31
33	-31
34	-31
35	-31
36	-31
37	-31
38	-31
39	-31
40	-31
41	-31
42	-31
43	-31
44	-31
45	-31
46	-31
47	-31
48	-31
49	-31
50	-31
51	-31
52	-31
53	-31
54	-31
55	-31
-40	-30
-39	-30
-38	-30
-37	-30
-36	-30
-35	-30
-34	-30
-33	-30
-32	-30
-31	-30
-30	-30
-29	-30
-28	-30
-27	-30
-26	-30
-25	-30
-24	-30
-23	-30
-22	-30
-21	-30
-20	-30
-19	-30
-18	-30
-17	-30
-16	-30
-15	-30
-14	-30
-13	-30
-12	-30
-11	-30
-10	-30
-9	-30
-8	-30
-7	-30
-6	-30
-5	-30
-4	-30
-3	-30
-2	-30
-1	-30
0	-30
1	-30
2	-30
3	-30
4	-30
5	-30
6	-30
7	-30
8	-30
9	-30
10	-30
11	-30
12	-30
13	-30
14	-30
15	-30
16	-30
17	-30
18	-30
19	-30
20	-30
21	-30
22	-30
23	-30
24	-30
25	-30
26	-30
27	-30
28	-30
29	-30
30	-30
31	-30
32	-30
33	-30
34	-30
35	-30
36	-30
37	-30
38	-30
39	-30
40	-30
41	-30
42	-30
43	-30
44	-30
45	-30
46	-30
47	-30
48	-30
49	-30
50	-30
51	-30
52	-30
53	-30
54	-30
55	-30
-40	-29
-39	-29
-38	-29
-37	-29
-36	-29
-35	-29
-34	-29
-33	-29
-32	-29
-31	-29
-30	-29
-29	-29
-28	-29
-27	-29
-26	-29
-25	-29
-24	-29
-23	-29
-22	-29
-21	-29
-20	-29
-19	-29
-18	-29
-17	-29
-16	-29
-15	-29
-14	-29
-13	-29
-12	-29
-11	-29
-10	-29
-9	-29
-8	-29
-7	-29
-6	-29
-5	-29
-4	-29
-3	-29
-2	-29
-1	-29
0	-29
1	-29
2	-29
3	-29
4	-29
5	-29
6	-29
7	-29
8	-29
9	-29
10	-29
11	-29
12	-29
13	-29
14	-29
15	-29
16	-29
17	-29
18	-29
19	-29
20	-29
21	-29
22	-29
23	-29
24	-29
25	-29
26	-29
27	-29
28	-29
29	-29
30	-29
31	-29
32	-29
33	-29
34	-29
35	-29
36	-29
37	-29
38	-29
39	-29
40	-29
41	-29
42	-29
43	-29
44	-29
45	-29
46	-29
47	-29
48	-29
49	-29
50	-29
51	-29
52	-29
53	-29
54	-29
55	-29
-40	-28
-39	-28
-38	-28
-37	-28
-36	-28
-35	-28
-34	-28
-33	-28
-32	-28
-31	-28
-30	-28
-29	-28
-28	-28
-27	-28
-26	-28
-25	-28
-24	-28
-23	-28
-22	-28
-21	-28
-20	-28
-19	-28
-18	-28
-17	-28
-16	-28
-15	-28
-14	-28
-13	-28
-12	-28
-11	-28
-10	-28
-9	-28
-8	-28
-7	-28
-6	-28
-5	-28
-4	-28
-3	-28
-2	-28
-1	-28
0	-28
1	-28
2	-28
3	-28
4	-28
5	-28
6	-28
7	-28
8	-28
9	-28
10	-28
11	-28
12	-28
13	-28
14	-28
15	-28
16	-28
17	-28
18	-28
19	-28
20	-28
21	-28
22	-28
23	-28
24	-28
25	-28
26	-28
27	-28
28	-28
29	-28
30	-28
31	-28
32	-28
33	-28
34	-28
35	-28
36	-28
37	-28
38	-28
39	-28
40	-28
41	-28
42	-28
