snap  a      z    t/t0    t/yr
 0 0.02 56.42 0.00 3.91e+07
 1 0.02 49.24 0.00 4.79e+07
 2 0.02 44.75 0.00 5.52e+07
 3 0.04 26.81 0.01 1.17e+08
 4 0.05 17.76 0.02 2.12e+08
 5 0.06 16.26 0.02 2.40e+08
 6 0.06 14.90 0.02 2.72e+08
 7 0.07 13.66 0.02 3.07e+08
 8 0.07 12.53 0.03 3.46e+08
 9 0.08 11.51 0.03 3.90e+08
10 0.09 10.57 0.03 4.38e+08
11 0.09  9.72 0.04 4.91e+08
12 0.10  8.93 0.04 5.50e+08
13 0.11  8.22 0.04 6.16e+08
14 0.12  7.57 0.05 6.87e+08
15 0.13  6.97 0.06 7.66e+08
16 0.13  6.42 0.06 8.52e+08
17 0.14  5.92 0.07 9.47e+08
18 0.15  5.46 0.08 1.05e+09
19 0.17  5.03 0.08 1.16e+09
20 0.18  4.64 0.09 1.28e+09
21 0.19  4.28 0.10 1.42e+09
22 0.20  3.95 0.11 1.56e+09
23 0.22  3.65 0.12 1.72e+09
24 0.23  3.37 0.14 1.88e+09
25 0.24  3.11 0.15 2.06e+09
26 0.26  2.87 0.16 2.26e+09
27 0.27  2.64 0.18 2.46e+09
28 0.29  2.44 0.19 2.68e+09
29 0.31  2.25 0.21 2.92e+09
30 0.33  2.07 0.23 3.17e+09
31 0.34  1.91 0.25 3.43e+09
32 0.36  1.75 0.27 3.71e+09
33 0.38  1.61 0.29 4.01e+09
34 0.40  1.48 0.31 4.32e+09
35 0.42  1.36 0.34 4.64e+09
36 0.45  1.25 0.36 4.98e+09
37 0.47  1.14 0.39 5.33e+09
38 0.49  1.04 0.41 5.69e+09
39 0.51  0.95 0.44 6.06e+09
40 0.54  0.86 0.47 6.45e+09
41 0.56  0.78 0.50 6.85e+09
42 0.59  0.71 0.52 7.25e+09
43 0.61  0.64 0.55 7.66e+09
44 0.64  0.57 0.58 8.08e+09
45 0.66  0.51 0.62 8.50e+09
46 0.69  0.46 0.65 8.93e+09
47 0.71  0.40 0.68 9.36e+09
48 0.74  0.35 0.71 9.79e+09
49 0.77  0.31 0.74 1.02e+10
50 0.79  0.26 0.77 1.06e+10
51 0.82  0.22 0.80 1.11e+10
52 0.85  0.18 0.83 1.15e+10
53 0.87  0.15 0.86 1.19e+10
54 0.90  0.11 0.89 1.23e+10
55 0.92  0.08 0.92 1.27e+10
56 0.95  0.05 0.95 1.31e+10
57 0.98  0.03 0.97 1.35e+10
58 1.00  0.00 1.00 1.38e+10
59 1.02 -0.02 1.03 1.42e+10
60 1.05 -0.05 1.05 1.45e+10
61 1.07 -0.07 1.07 1.48e+10
62 1.09 -0.09 1.10 1.51e+10
63 1.12 -0.10 1.12 1.54e+10
