snap  a      z    t/t0    t/yr
 0  0.008 127.00  0.00  1.18e+07
 1  0.012  80.00  0.00  2.39e+07
 2  0.020  50.00  0.00  4.85e+07
 3  0.032  30.00  0.01  1.03e+08
 4  0.048  19.92  0.01  1.86e+08
 5  0.052  18.24  0.02  2.11e+08
 6  0.056  16.72  0.02  2.39e+08
 7  0.061  15.34  0.02  2.70e+08
 8  0.066  14.09  0.02  3.04e+08
 9  0.072  12.94  0.03  3.42e+08
10  0.078  11.90  0.03  3.85e+08
11  0.084  10.94  0.03  4.32e+08
12  0.090  10.07  0.04  4.84e+08
13  0.097   9.28  0.04  5.41e+08
14  0.105   8.55  0.04  6.04e+08
15  0.113   7.88  0.05  6.74e+08
16  0.121   7.27  0.06  7.49e+08
17  0.130   6.71  0.06  8.33e+08
18  0.139   6.20  0.07  9.23e+08
19  0.149   5.72  0.08  1.02e+09
20  0.159   5.29  0.08  1.13e+09
21  0.170   4.89  0.09  1.25e+09
22  0.181   4.52  0.10  1.37e+09
23  0.193   4.18  0.11  1.51e+09
24  0.206   3.87  0.12  1.66e+09
25  0.219   3.58  0.13  1.81e+09
26  0.232   3.31  0.15  1.98e+09
27  0.246   3.06  0.16  2.17e+09
28  0.261   2.83  0.17  2.36e+09
29  0.276   2.62  0.19  2.57e+09
30  0.292   2.42  0.21  2.79e+09
31  0.309   2.24  0.22  3.02e+09
32  0.326   2.07  0.24  3.26e+09
33  0.343   1.91  0.26  3.52e+09
34  0.361   1.77  0.28  3.79e+09
35  0.380   1.63  0.30  4.08e+09
36  0.399   1.50  0.32  4.38e+09
37  0.419   1.39  0.34  4.68e+09
38  0.439   1.28  0.37  5.00e+09
39  0.460   1.17  0.39  5.33e+09
40  0.481   1.08  0.42  5.67e+09
41  0.503   0.99  0.44  6.02e+09
42  0.525   0.91  0.47  6.38e+09
43  0.547   0.83  0.50  6.74e+09
44  0.570   0.76  0.52  7.11e+09
45  0.593   0.69  0.55  7.48e+09
46  0.616   0.62  0.58  7.85e+09
47  0.639   0.56  0.61  8.23e+09
48  0.663   0.51  0.63  8.60e+09
49  0.687   0.46  0.66  8.98e+09
50  0.710   0.41  0.69  9.35e+09
51  0.734   0.36  0.72  9.72e+09
52  0.758   0.32  0.74  1.01e+10
53  0.781   0.28  0.77  1.05e+10
54  0.805   0.24  0.80  1.08e+10
55  0.828   0.21  0.82  1.12e+10
56  0.851   0.17  0.85  1.15e+10
57  0.874   0.14  0.87  1.18e+10
58  0.896   0.12  0.89  1.21e+10
59  0.918   0.09  0.92  1.25e+10
60  0.939   0.06  0.94  1.28e+10
61  0.960   0.04  0.96  1.30e+10
62  0.980   0.02  0.98  1.33e+10
63  1.000   0.00  1.00  1.36e+10
